,Index,Hotel,Location,Country,Region,Company,Score,Rank,Rooms,Hotel_type,Theme,Year,Century,2021_Rank,Past_rank,Rank_Year,Google_Rate,Google_Habs,Google_Location,Google_Service,Trip_Rate,Trip_Location,Trip_Cleanliness,Trip_Service,Trip_Value
105,83,Taj Holiday Village Resort & Spa,Goa,India,Southeast Asia,India Hotels Company Limited,96.21,83,142,Small,Beachfront,1978,20,1.0,12.0,2022,4.7,3.9,4.7,4.7,4.5,4.7,4.5,4.5,4.2
106,113,Taj Holiday Village Resort & Spa,Goa,India,Southeast Asia,India Hotels Company Limited,98.76,12,142,Small,Coastal,1978,20,0.0,0.0,2021,4.7,3.9,4.7,4.7,4.5,4.7,4.5,4.5,4.2
107,84,Mandarin Oriental Bangkok,Bangkok,Thailand,Southeast Asia,Jardine Matheson,96.18,84,331,Big,Contemporary ,1876,19,1.0,41.0,2022,4.7,4.3,4.2,4.4,5.0,4.7,4.9,4.9,4.4
108,144,Mandarin Oriental Bangkok,Bangkok,Thailand,Southeast Asia,Jardine Matheson,97.87,41,331,Big,Contemporary ,1876,19,0.0,0.0,2021,4.7,4.3,4.2,4.4,5.0,4.7,4.9,4.9,4.4
109,85,Auberge Saint-Antoine,Quebec City,Canada,North America,Price family,96.18,85,95,Small,Manor,1992,20,0.0,0.0,2022,4.8,4.3,4.9,4.5,5.0,4.9,4.9,4.8,4.5
110,86,Rosewood Miramar Beach,Montecito,United States,North America,Caruso,96.14,86,161,Medium,Beachfront,2018,21,0.0,0.0,2022,4.5,0.0,0.0,0.0,4.5,4.8,4.8,4.3,4.0
111,87,Rio Celeste Hideaway Hotel,Guanacaste,Costa Rica,Latin America,Angelo Zaragovia (brainchild),96.0,87,26,Small,Nature,2010,21,0.0,0.0,2022,4.7,4.5,4.8,4.8,4.5,4.5,4.8,4.7,4.5
112,88,Hotel Caesar Augustus,Anacapri,Italy,Europe,Signorini family,96.0,87,55,Small,Coastal,1940,20,0.0,0.0,2022,4.8,4.2,5.0,4.6,4.5,4.9,4.7,4.5,4.0
113,89,Grand Hotel Villa Serbelloni,Bellagio,Italy,Europe,Bucher family,96.0,87,95,Small,Palace,1873,19,0.0,0.0,2022,4.6,3.7,4.8,4.2,4.5,4.9,4.6,4.4,3.7
114,90,Le Bristol Paris,Paris,France,Europe,Oetker Collection,96.0,87,190,Medium,Palace,1925,20,1.0,80.0,2022,4.7,3.8,4.9,4.6,5.0,4.9,4.9,4.9,4.4
